ID;FLG_DEF_6M;Macro Area;Settore
273;0;Sud & Isole;Artigianato e piccole imprese
274;1;Sud & Isole;Artigianato e piccole imprese
275;0;Centro ;Artigianato e piccole imprese
276;0;Nord;Artigianato e piccole imprese
277;0;Nord;Artigianato e piccole imprese
278;0;Centro ;Artigianato e piccole imprese
279;0;Centro ;Artigianato e piccole imprese
280;0;Nord;Artigianato e piccole imprese
281;1;Centro ;Imprese private
282;0;Sud & Isole;Artigianato e piccole imprese
283;0;Nord;Imprese private
284;0;Centro ;Artigianato e piccole imprese
285;0;Nord;Imprese private
286;0;Nord;Artigianato e piccole imprese
287;0;Sud & Isole;NGO e altro
288;1;Nord;Artigianato e piccole imprese
289;0;Centro ;Artigianato e piccole imprese
290;0;Nord;Artigianato e piccole imprese
291;0;Nord;Artigianato e piccole imprese
292;0;Centro ;Artigianato e piccole imprese
293;0;Centro ;Artigianato e piccole imprese
294;0;Nord;Artigianato e piccole imprese
295;0;Centro ;Imprese private
296;0;Nord;Artigianato e piccole imprese
297;0;Sud & Isole;Artigianato e piccole imprese
298;0;Centro ;NGO e altro
299;0;Nord;Artigianato e piccole imprese
300;0;Centro ;Imprese private
301;1;Centro ;Imprese private
302;0;Centro ;NGO e altro
303;0;Nord;Artigianato e piccole imprese
304;0;Nord;NGO e altro
305;0;Centro ;Artigianato e piccole imprese
306;0;Nord;Artigianato e piccole imprese
307;0;Centro ;Artigianato e piccole imprese
308;0;Nord;Artigianato e piccole imprese
309;0;Centro ;Artigianato e piccole imprese
310;0;Centro ;Artigianato e piccole imprese
311;1;Centro ;Artigianato e piccole imprese
312;0;Centro ;Artigianato e piccole imprese
313;0;Centro ;Artigianato e piccole imprese
314;0;Centro ;Artigianato e piccole imprese
315;1;Sud & Isole;Artigianato e piccole imprese
316;0;Centro ;Artigianato e piccole imprese
317;0;Centro ;Artigianato e piccole imprese
318;0;Centro ;Artigianato e piccole imprese
319;0;Centro ;Artigianato e piccole imprese
320;1;Centro ;Artigianato e piccole imprese
321;0;Centro ;Artigianato e piccole imprese
322;0;Centro ;Artigianato e piccole imprese
323;0;Nord;Artigianato e piccole imprese
324;0;Centro ;Artigianato e piccole imprese
325;0;Sud & Isole;Artigianato e piccole imprese
326;0;Nord;Artigianato e piccole imprese
327;0;Centro ;Artigianato e piccole imprese
328;0;Centro ;Artigianato e piccole imprese
329;0;Centro ;Artigianato e piccole imprese
330;0;Centro ;Artigianato e piccole imprese
331;0;Centro ;Artigianato e piccole imprese
332;0;Sud & Isole;Imprese private
333;0;Centro ;Artigianato e piccole imprese
334;0;Centro ;Artigianato e piccole imprese
335;0;Centro ;Artigianato e piccole imprese
336;0;Centro ;Artigianato e piccole imprese
337;0;Sud & Isole;Artigianato e piccole imprese
338;1;Centro ;Artigianato e piccole imprese
339;1;Sud & Isole;Artigianato e piccole imprese
340;0;Nord;Artigianato e piccole imprese
341;0;Nord;Artigianato e piccole imprese
342;0;Nord;Artigianato e piccole imprese
343;0;Centro ;Artigianato e piccole imprese
344;0;Centro ;Artigianato e piccole imprese
345;0;Centro ;Artigianato e piccole imprese
346;0;Sud & Isole;Artigianato e piccole imprese
347;0;Nord;Artigianato e piccole imprese
348;0;Nord;Artigianato e piccole imprese
349;0;Nord;Artigianato e piccole imprese
350;0;Centro ;Artigianato e piccole imprese
351;0;Nord;Artigianato e piccole imprese
352;0;Centro ;Artigianato e piccole imprese
353;1;Nord;Imprese private
354;0;Nord;Artigianato e piccole imprese
355;0;Nord;Artigianato e piccole imprese
